era_2026_proj,player_id,pitcher_name,year,p_era,xwoba,whiff_percent,hard_hit_percent,barrel_batted_rate,delta_era
4.050327301025391,700669,"Graceffo, Gordon",2025,6.28,0.326,23.1,53.6,7.2,-2.2296726989746096
4.053071022033691,661563,"Gil, Luis",2025,3.32,0.342,21.5,42.6,8.3,0.7330710220336916
4.056518077850342,678606,"Ferrer, Jose A.",2025,4.48,0.294,24.8,42.2,4.8,-0.42348192214965863
4.064798831939697,806185,"Birdsong, Hayden",2025,4.8,0.334,28.4,46.8,9.6,-0.7352011680603026
4.068341255187988,676106,"Hancock, Emerson",2025,4.9,0.358,20.3,42.5,7.7,-0.8316587448120121
4.069967746734619,680742,"Bowlan, Jonathan",2025,3.86,0.303,33.7,36.8,9.4,0.20996774673461926
4.072405815124512,656557,"Houck, Tanner",2025,8.04,0.376,21.6,46.3,8.1,-3.9675941848754874
4.077329158782959,595928,"Curtiss, John",2025,3.93,0.32,20.4,42.9,8.9,0.14732915878295882
4.082710266113281,506433,"Darvish, Yu",2025,5.38,0.297,23,33,8.9,-1.2972897338867186
4.085731506347656,621244,"Berríos, José",2025,4.17,0.337,22,42.5,11.3,-0.08426849365234368
4.086169719696045,477132,"Kershaw, Clayton",2025,3.36,0.303,24.3,42.1,4.1,0.726169719696045
4.087636947631836,650911,"Sánchez, Cristopher",2025,2.5,0.272,30.4,39.8,5.7,1.587636947631836
4.090662479400635,670036,"Festa, Matt",2025,4.12,0.29,27.3,34,6,-0.02933752059936534
4.094370365142822,661395,"Duran, Jhoan",2025,2.06,0.248,30.8,41.6,4.3,2.034370365142822
4.098278522491455,663687,"Harris, Hogan",2025,3.2,0.305,23,32.6,5.6,0.8982785224914549
4.0985636711120605,685299,"Gordon, Tanner",2025,6.33,0.368,18,41.2,11.4,-2.2314363288879395
4.108938217163086,641329,"Baker, Bryan",2025,4.06,0.311,29.1,48.3,12.6,0.04893821716308633
4.11119270324707,701519,"Adams, Travis",2025,7.49,0.393,25.6,40.6,12.3,-3.37880729675293
4.116833209991455,669372,"Ginn, J.T.",2025,5.08,0.301,28.7,44.5,9.8,-0.963166790008545
4.121687412261963,693855,"Seymour, Ian",2025,3.63,0.308,27,37.8,7.1,0.491687412261963
4.124042510986328,624133,"Suárez, Ranger",2025,3.2,0.278,22.2,31.1,5.5,0.924042510986328
4.1265740394592285,665660,"Alvarado, Elvis",2025,3.19,0.304,33.7,46.8,8.3,0.9365740394592286
4.128389358520508,668964,"Myers, Tobias",2025,3.55,0.324,21.4,44.8,6.7,0.578389358520508
4.129300117492676,607259,"Martinez, Nick",2025,4.45,0.312,19.9,34.5,6.9,-0.3206998825073244
4.129630088806152,680755,"Fisher, Braydon",2025,2.7,0.285,29.9,36.4,7.6,1.4296300888061522
4.130563259124756,690953,"Abel, Mick",2025,6.23,0.346,25.4,49.2,8.5,-2.0994367408752446
4.131468296051025,655889,"Rodríguez, Manuel",2025,2.08,0.274,25.9,41.6,3.4,2.0514682960510253
4.142758846282959,687223,"Palmquist, Carson",2025,8.91,0.379,21,40,14.2,-4.767241153717041
4.147159099578857,679358,"Orze, Eric",2025,3.02,0.297,27,30.2,7.8,1.1271590995788574
4.157163619995117,672578,"Hernández, Carlos",2025,6.23,0.359,26.6,38.6,11.4,-2.0728363800048832
4.168444633483887,641302,"Alexander, Tyler",2025,4.98,0.332,21.5,39.6,5.8,-0.8115553665161137
4.168793678283691,669062,"Miller, Erik",2025,1.5,0.33,30.7,32.5,3.6,2.6687936782836914
4.16945219039917,686218,"Sheehan, Emmet",2025,2.82,0.271,32.9,41.6,10.1,1.34945219039917
4.173365592956543,641927,"Ober, Bailey",2025,5.1,0.323,24.1,39.1,10.9,-0.9266344070434567
4.178813934326172,547973,"Chapman, Aroldis",2025,1.17,0.227,35.8,36.7,5.5,3.008813934326172
4.1801252365112305,669923,"Kirby, George",2025,4.21,0.306,26.7,43.9,8.5,-0.029874763488769496
4.185180187225342,641672,"Hatch, Thomas",2025,5.82,0.338,19.2,38.1,8,-1.6348198127746585
4.185665607452393,622554,"Domínguez, Seranthony",2025,3.16,0.282,33.3,36.8,6.9,1.0256656074523924
4.195223808288574,669302,"Gilbert, Logan",2025,3.44,0.275,32.9,41.7,8.6,0.7552238082885743
4.1962714195251465,608650,"Enns, Dietrich",2025,4.08,0.288,27.2,36,4.4,0.11627141952514641
4.196402549743652,694462,"Waldrep, Hurston",2025,2.88,0.31,28.5,40.3,4,1.3164025497436525
4.199092864990234,622663,"Severino, Luis",2025,4.54,0.331,18.3,41.9,6,-0.34090713500976566
4.199254989624023,701487,"Ohl, Pierson",2025,5.1,0.337,22,39.4,10.1,-0.9007450103759762
4.205533981323242,543243,"Gray, Sonny",2025,4.28,0.306,27.5,40.7,9.8,-0.07446601867675806
4.216365814208984,675848,"Mejia, Juan",2025,3.96,0.27,30.4,34.6,4.9,0.2563658142089844
4.217207431793213,676879,"Ashby, Aaron",2025,2.16,0.276,27,40,3,2.0572074317932127
4.220969200134277,669084,"Hall, DL",2025,3.49,0.294,19.6,28.8,6.3,0.7309692001342771
4.221323490142822,641154,"López, Pablo",2025,2.74,0.309,25.9,35.3,6,1.481323490142822
4.221851825714111,605540,"Woodruff, Brandon",2025,3.2,0.233,27.9,35.9,7.1,1.0218518257141112
4.223991394042969,672782,"Gómez, Yoendrys",2025,5.17,0.347,23.9,37.4,12.3,-0.9460086059570312
4.248715877532959,471911,"Carrasco, Carlos",2025,7.09,0.354,22.5,42.9,10.6,-2.841284122467041
4.253028869628906,682052,"Lopez, Jacob",2025,4.08,0.297,28.3,33.2,6.6,0.17302886962890618
4.25725793838501,669060,"Wilson, Bryse",2025,6.65,0.422,16.7,45.4,10.9,-2.3927420616149906
4.261642932891846,642397,"Soto, Gregory",2025,4.18,0.305,29.9,37.9,4,0.08164293289184599
4.266803741455078,621366,"Borucki, Ryan",2025,4.63,0.341,29.8,38.5,8.3,-0.36319625854492177
4.267963886260986,670970,"Morejon, Adrian",2025,2.08,0.254,23.8,30.7,4,2.1879638862609863
4.271566867828369,621107,"Eflin, Zach",2025,5.93,0.327,20.5,40.6,9.4,-1.6584331321716306
4.274784088134766,806188,"Gibson, Cade",2025,2.63,0.304,22.3,37.5,5.6,1.6447840881347657
4.274918079376221,656457,"Gilbert, Tyler",2025,3.88,0.313,26.2,40.7,10,0.3949180793762208
4.277240753173828,650644,"Civale, Aaron",2025,4.85,0.314,21.8,39.1,9.8,-0.5727592468261715
4.2791876792907715,682847,"Ortiz, Luis",2025,4.36,0.336,28.9,47.7,10.3,-0.08081232070922884
4.279346942901611,434378,"Verlander, Justin",2025,3.85,0.319,24.8,37,8.1,0.42934694290161124
4.2831926345825195,676962,"Brown, Ben",2025,5.92,0.329,28.3,47.3,11.4,-1.6368073654174804
4.285615921020508,686563,"Cannon, Jonathan",2025,5.82,0.354,21.4,45.4,10.7,-1.5343840789794925
4.291119575500488,690916,"Fitts, Richard",2025,5,0.361,25.3,48.5,12.7,-0.7088804244995117
4.29453182220459,672391,"Ort, Kaleb",2025,4.89,0.288,29.2,37.9,7.8,-0.5954681777954098
4.295688629150391,660896,"Alcala, Jorge",2025,6.22,0.327,25.7,37.6,10.9,-1.9243113708496091
4.303462982177734,695445,"Lee, Chase",2025,4.1,0.346,21.1,40.6,13.9,0.20346298217773473
4.30462646484375,596001,"Junis, Jakob",2025,2.97,0.312,22.7,38.6,6.1,1.3346264648437498
4.31164026260376,669199,"Bachar, Lake",2025,3.93,0.327,30.2,41.5,10.6,0.3816402626037596
4.316052436828613,680885,"Schwellenbach, Spencer",2025,3.09,0.294,28.3,41.5,7.5,1.2260524368286134
4.318582534790039,669920,"Alexander, Jason",2025,4.77,0.339,24.6,45.9,8.3,-0.4514174652099605
4.320657730102539,453286,"Scherzer, Max",2025,5.19,0.332,23.6,38.2,12.4,-0.8693422698974613
4.323972702026367,656641,"Latz, Jacob",2025,2.84,0.315,29.4,42.6,6.4,1.4839727020263673
4.325084209442139,681857,"Olson, Reese",2025,3.15,0.313,29.7,44.7,7.4,1.1750842094421388
4.326995372772217,606996,"Hart, Kyle",2025,5.86,0.299,19.9,39.4,7.9,-1.5330046272277835
4.328601360321045,605447,"Romano, Jordan",2025,8.23,0.314,28.7,39.2,10,-3.9013986396789555
4.330233097076416,668909,"Williams, Gavin",2025,3.06,0.321,27.7,44.3,9,1.270233097076416
