"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Bibee, Tanner",676440,2023,10,4,2.98,0.298,37.8,6.1,38.1,78.01009352,94.070533376,26.3,47.2
"Whitlock, Garrett",676477,2023,5,5,5.15,0.330,37.5,10.2,42.6,79.252217963,94.714280791,28.3,51.2
"Fleming, Josh",676596,2023,2,0,4.70,0.354,28.8,5.6,48.6,79.822975568,95.259881136,18.2,46.4
"Crawford, Kutter",676710,2023,6,8,4.04,0.281,30.5,7.7,35.3,76.355210455,93.712169573,26.8,52.4
"Marinaccio, Ron",676760,2023,4,5,3.99,0.322,42.1,11.4,36.8,76.607989818,94.551514909,28.2,46.8
"Nardi, Andrew",677053,2023,8,1,2.67,0.257,30.2,6.5,27.3,72.239223971,92.483975074,28.7,50.6
"Weathers, Ryan",677960,2023,1,8,6.55,0.329,33.7,7.6,34.8,78.823388667,93.970868889,23.6,43.9
"Bello, Brayan",678394,2023,12,11,4.24,0.316,28,7,44.3,78.007244174,94.760085031,24.4,48.4
"Ferrer, Jose A.",678606,2023,3,0,5.03,0.301,29.1,2.9,36.9,76.212076667,93.716347451,18.3,47
"Marsh, Alec",679525,2023,3,9,5.69,0.369,40.4,9.6,41.8,79.174797941,94.346829314,29.6,45.5
"Gray, Josiah",680686,2023,8,13,3.91,0.342,35,9.4,36.7,75.912309009,93.710812694,26.2,46.4
"Bradish, Kyle",680694,2023,12,7,2.83,0.300,33.3,6.9,42,80.023999375,94.268400156,26,45.8
"Sandlin, Nick",680704,2023,5,5,3.75,0.308,25.9,10.2,40.1,73.295218056,94.243114653,32,46.5
"Rom, Drew",680723,2023,1,4,8.02,0.372,37,12.6,45.4,80.754740667,95.463336891,18.4,43.7
"Winder, Josh",680739,2023,2,1,4.15,0.336,32.4,8.6,43.8,80.758923774,95.218280857,20.3,48.5
